pose_id,elapsed_ms,valid,tx_mm,ty_mm,tz_mm,error
12,2257,1,350.752,-197.346,151.598,0.454987
12,2541,1,351.185,-196.928,151.101,0.421801
12,2833,1,351.117,-196.724,151.654,0.44883
12,3107,1,351.334,-196.403,151.402,0.471398
12,3384,1,351.079,-196.715,151.655,0.472356
12,3658,1,350.932,-197.001,151.668,0.425249
12,3941,1,351.006,-196.746,151.905,0.447054
13,0,1,242.105,-148.92,270.332,0.443882
13,282,1,242.28,-148.64,270.304,0.411883
13,558,1,242.084,-149.081,270.269,0.408866
13,837,1,242.562,-148.621,270.076,0.431032
13,1121,1,242.387,-148.566,270.349,0.445996
13,1404,1,242.115,-148.559,270.611,0.411393
13,1683,1,242.372,-148.562,270.361,0.460828
13,1980,1,242.493,-148.606,270.232,0.422872
13,2259,1,242.069,-148.871,270.427,0.409762
13,2536,1,241.909,-149.06,270.501,0.413095
13,2819,1,242.125,-149.092,270.213,0.42677
13,3106,1,242.109,-148.651,270.503,0.415797
13,3393,1,242.336,-148.499,270.412,0.465745
13,3675,1,242.21,-148.859,270.31,0.396511
13,3951,1,242.107,-148.79,270.452,0.449381
14,0,1,135.501,333.267,-217.847,0.438683
14,282,1,131.418,336.933,-211.518,0.432993
14,568,1,131.281,336.982,-211.519,0.478638
14,860,1,132.156,336.919,-211.12,0.468899
14,1146,1,131.783,336.87,-211.457,0.494197
14,1430,1,131.63,336.935,-211.439,0.390663
14,1713,1,131.946,336.85,-211.366,0.419866
14,1999,1,130.658,337.109,-211.64,0.450088
14,2281,1,130.847,337.068,-211.594,0.447271
14,2563,1,131.285,336.824,-211.719,0.407707
14,2847,1,131.286,337.013,-211.445,0.446908
14,3128,1,131.653,337.083,-211.244,0.484078
14,3411,1,131.752,336.911,-211.378,0.428777
14,3693,1,131.253,336.96,-211.521,0.427452
14,3975,1,131.4,337.073,-211.325,0.436669
